              trigger_name               |        table_name         |              function_name               | timing |        events        | status  
 trg_auto_close_previous_fee_schedule    | investor_fee_schedule     | auto_close_previous_fee_schedule         | AFTER  | INSERT               | ENABLED
 trg_close_previous_fee_schedule         | investor_fee_schedule     | close_previous_fee_schedule              | AFTER  | INSERT               | ENABLED
 audit_user_roles_trigger                | user_roles                | audit_user_role_changes                  | AFTER  | INSERT DELETE UPDATE | ENABLED
 sync_admin_status_on_role_change        | user_roles                | sync_profile_is_admin                    | AFTER  | INSERT DELETE UPDATE | ENABLED
 trigger_sync_ib_account_type            | user_roles                | sync_ib_account_type                     | AFTER  | INSERT               | ENABLED
 ib_allocation_payout_audit              | ib_allocations            | audit_ib_allocation_payout               | AFTER  | UPDATE               | ENABLED
 protect_ib_allocations_immutable        | ib_allocations            | protect_allocation_immutable_fields      | BEFORE | UPDATE               | ENABLED
 protect_fee_allocations_immutable       | fee_allocations           | protect_allocation_immutable_fields      | BEFORE | UPDATE               | ENABLED
 delta_audit_yield_distributions         | yield_distributions       | audit_delta_trigger                      | AFTER  | INSERT DELETE UPDATE | ENABLED
 protect_yield_distributions_immutable   | yield_distributions       | protect_audit_immutable_fields           | BEFORE | UPDATE               | ENABLED
 trg_cascade_void_to_allocations         | yield_distributions       | cascade_void_to_allocations              | AFTER  | UPDATE               | ENABLED
 trg_cascade_void_to_yield_events        | yield_distributions       | cascade_void_to_yield_events             | AFTER  | UPDATE               | ENABLED
 cron_job_cache_invalidate               | cron.job                  | job_cache_invalidate                     | AFTER  | INSERT DELETE UPDATE | ENABLED
(67 rows)

