                function_name                |                                                                            parameters                                                                             |                                                                                                                                                            return_type                                                                                                                                                             | security 
 update_investor_last_activity               |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 update_investor_last_activity_withdrawal    |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 update_last_activity_on_statement           |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 update_transaction                          | p_transaction_id uuid, p_updates jsonb, p_reason text                                                                                                             | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 update_updated_at                           |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | INVOKER
 update_updated_at_column                    |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | INVOKER
 update_user_profile_secure                  | p_user_id uuid, p_first_name text, p_last_name text, p_phone text, p_status text                                                                                  | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 update_withdrawal                           | p_withdrawal_id uuid, p_requested_amount numeric, p_withdrawal_type text, p_notes text, p_reason text                                                             | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 use_invite_code                             | p_invite_code text, p_user_id uuid                                                                                                                                | boolean                                                                                                                                                                                                                                                                                                                            | DEFINER
 validate_ib_parent_has_role                 |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 validate_invite_code                        | p_invite_code text                                                                                                                                                | TABLE(id uuid, email text, expires_at timestamp with time zone, used boolean)                                                                                                                                                                                                                                                      | DEFINER
 validate_position_fund_status               |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 validate_transaction_fund_status            |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 validate_transaction_has_aum                |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 validate_transaction_type                   |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 validate_withdrawal_request                 |                                                                                                                                                                   | trigger                                                                                                                                                                                                                                                                                                                            | DEFINER
 validate_yield_temporal_lock                | p_fund_id uuid, p_yield_date date, p_purpose text                                                                                                                 | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 verify_yield_distribution_balance           | p_fund_id uuid, p_date date, p_purpose text                                                                                                                       | TABLE(check_name text, expected numeric, actual numeric, difference numeric, status text)                                                                                                                                                                                                                                          | DEFINER
 void_fund_daily_aum                         | p_record_id uuid, p_reason text, p_admin_id uuid                                                                                                                  | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 void_investor_yield_events_for_distribution | p_distribution_id uuid, p_admin_id uuid, p_reason text                                                                                                            | integer                                                                                                                                                                                                                                                                                                                            | DEFINER
 void_transaction                            | p_transaction_id uuid, p_reason text, p_actor_id uuid                                                                                                             | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
 void_yield_distribution                     | p_distribution_id uuid, p_reason text, p_admin_id uuid                                                                                                            | jsonb                                                                                                                                                                                                                                                                                                                              | DEFINER
(202 rows)

